Model,PCA_dims,Explained_Var,Best_K,Best_Cov,Silhouette_Cosine,Silhouette_Euclidean,Calinski_Harabasz,Davies_Bouldin,ARI_vs_Numeric,Mean_Eta2,Eta2_S1,Eta2_S2,Eta2_S3,Eta2_S4,Eta2_S5
MiniLM,2,0.5844474,10,full,0.26984450221061707,0.4156156,1146.7452,0.7788065817766736,0.09583716004966149,0.44681935790730004,0.45168627372077513,0.6793464608861212,0.5239370842083036,0.2681023229537006,0.3110246477675996
MiniLM,4,0.83758384,10,full,0.5159927010536194,0.5143594,552.7322,0.7995758588072552,0.1629927086713964,0.4703769692803344,0.5150647125482498,0.6870909465965251,0.5173669796444609,0.29369676995145677,0.3386654376609794
MiniLM,6,0.9000299,10,full,0.5115318894386292,0.48521194,362.36252,0.8242059637138368,0.16140369452560785,0.4907186198813351,0.5446742586285088,0.7141740109819397,0.5273638083002835,0.3146925847619848,0.35268843673395905
MiniLM,8,0.93163544,8,full,0.4879746437072754,0.4094997,282.27838,1.0770223308178584,0.1765622943412234,0.4829505406497751,0.538559161758851,0.7129140350866381,0.5195291494247779,0.3008196863632908,0.34293067061531773
MiniLM,10,0.9459789,10,tied,0.5818451046943665,0.46582752,295.13037,0.8554165866846898,0.17288730283065645,0.47081036826775824,0.5163755566967264,0.6875540582586418,0.5174684432333454,0.29381108758821606,0.3388426955618617
MiniLM,15,0.96284544,10,tied,0.5818451046943665,0.4350572,267.19473,0.9114141981086329,0.17288730283065645,0.47081036826775824,0.5163755566967263,0.6875540582586418,0.5174684432333454,0.29381108758821606,0.3388426955618617
MiniLM,20,0.97165096,9,tied,0.6089711785316467,0.439744,255.81541,0.8703807514683541,0.1667693559432598,0.46830691834483185,0.5156892167724954,0.6875469835838118,0.5174026209266471,0.2857158402554911,0.33517993018571374
MiniLM,30,0.98189133,5,diag,0.509284257888794,0.3518899,241.3828,1.1331897999200957,0.11243391682230372,0.45765981862005223,0.5066416855491284,0.6725276656706191,0.498262520337602,0.2782537854905742,0.33261343605233784
MiniLM,50,0.99109405,3,diag,0.300788938999176,0.21952815,191.316,1.369457047373287,0.20828628535586496,0.40164161457807745,0.4125601934543293,0.6487248845621939,0.48021220239900075,0.19988031598030143,0.26683047649456176
MiniLM,100,0.9975641,2,diag,0.5300696492195129,0.3468524,256.42322,1.1460470524195752,0.14574469715356483,0.37628799190707973,0.3674975955082568,0.6125970032565161,0.467365574301445,0.18580859341392392,0.24817119305525698
MPNet,2,0.6734506,10,full,0.37591972947120667,0.4902728,1709.4604,0.7193120493943769,0.15613484406932757,0.43593748896534834,0.45316363947576543,0.6624589549914587,0.5174875713063073,0.23789921584418883,0.30867806320902164
MPNet,4,0.85853153,10,full,0.5565239191055298,0.5694613,849.00903,0.6364240422704726,0.16566138489147306,0.44525920620741194,0.4728665373364981,0.6685458686292707,0.5137881657314263,0.26198768209398776,0.30910777724587685
MPNet,6,0.9138666,10,full,0.48698151111602783,0.42962307,437.53354,1.0794194222143756,0.1527827694533653,0.43591282677118703,0.4748141547066069,0.6622618294763628,0.509655995010611,0.22234025631800902,0.3104918983443458
MPNet,8,0.9468647,7,full,0.4425748586654663,0.34632468,353.74823,1.3698406830620644,0.1906145785371226,0.4364422033302365,0.4674860723356353,0.6643292265174722,0.5156530957088022,0.220693001653003,0.31404962043626933
MPNet,10,0.9630731,10,tied,0.46846896409988403,0.37199074,306.6933,0.997291786988934,0.15393885267542784,0.47721108825325587,0.5268255131586709,0.7011618134012261,0.5217558075908689,0.2963480707611616,0.33996423635435163
MPNet,15,0.97878706,10,tied,0.5206648111343384,0.37962437,301.55124,0.9851796726598888,0.17288730283065645,0.47081036826775824,0.5163755566967263,0.6875540582586418,0.5174684432333454,0.29381108758821606,0.3388426955618617
MPNet,20,0.98414886,10,tied,0.5206648111343384,0.37143466,292.69138,1.0020040967882846,0.17288730283065645,0.47081036826775824,0.5163755566967263,0.6875540582586418,0.5174684432333454,0.29381108758821606,0.3388426955618617
MPNet,30,0.9897349,6,diag,0.5603999495506287,0.38518766,320.9215,1.0063930870470932,0.2034346348965932,0.396062435257032,0.3909892560311514,0.6353664794498546,0.5008097161211951,0.19136082377312347,0.2617859009098356
MPNet,50,0.9947835,3,diag,0.476712703704834,0.32763916,392.17862,1.1850695868992045,0.2422439317775597,0.38546979458881875,0.3877908233895109,0.6242348493169582,0.4760451670025848,0.1844264962799473,0.25485163695509266
MPNet,100,0.99844,2,diag,0.6895763874053955,0.4718454,484.96817,0.814035275454862,0.14620058818703796,0.37886102671661137,0.36986929506172894,0.6144175775744977,0.4748075850729053,0.18440872402491065,0.25080195184901427
