Domain,Measure,Eta_squared,p_value,Significant_001
IRT_theta,T10_theta_TOTAL,0.799705300529108,3.904497179305454e-180,True
IRT_theta,T10_theta_S1,0.5409106664247664,2.816708547908704e-85,True
IRT_theta,T10_theta_S2,0.6966501743532375,1.3337810579527879e-132,True
IRT_theta,T10_theta_S3,0.5016826054882259,6.125368061495333e-76,True
IRT_theta,T10_theta_S4,0.2847736349811096,4.880871862185481e-35,True
IRT_theta,T10_theta_S5,0.34500285769377576,6.156032954357675e-45,True
Self_perception,self_perception_1,0.032245534051621075,0.02089932391882546,False
Self_perception,self_perception_2,0.0567906615403207,0.00015019362785166293,True
Self_perception,self_perception_4,0.12110941058194769,4.15514313714778e-11,True
Self_perception,self_perception_5,0.04562254414751325,0.0019451357786532612,False
Self_perception,self_perception_6,0.05885416590325625,9.767152798376492e-05,True
Self_perception,MEAN_PERCPT,0.08170953107703723,3.20796439179691e-07,True
